Estadisticas de interfaz		,recibidos,enviados,diff_recibidos,diff_enviados
Paquetes de unidifusion            ,2693660,1277725,33330,15715
Paquetes de unidifusion            ,2726990,1293440,10475,2565
Paquetes de unidifusion            ,2737465,1296005,3030,1845
Paquetes de unidifusion            ,2740495,1297850,652040,1281905
Paquetes de unidifusion            ,3392535,2579755,917245,1718285
Paquetes de unidifusion            ,4309780,4298040,828799,1653957
Paquetes de unidifusion            ,5138579,5951997,930466,1753878
Paquetes de unidifusion            ,6069045,7705875,1029090,1833205
Paquetes de unidifusion            ,7098135,9539080,719332,1379290
Paquetes de unidifusion            ,7817467,10918370,624983,1225245
Paquetes de unidifusion            ,8442450,12143615,684565,1273075
Paquetes de unidifusion            ,9127015,13416690,890140,1725755
Paquetes de unidifusion           ,10017155,15142445,911795,1801585
Paquetes de unidifusion           ,10928950,16944030,833185,1648710
Paquetes de unidifusion           ,11762135,18592740,882385,1750430
Paquetes de unidifusion           ,12644520,20343170,878910,1744930
Paquetes de unidifusion           ,13523430,22088100,912770,1814795
Paquetes de unidifusion           ,14436200,23902895,831780,1651150
Paquetes de unidifusion           ,15267980,25554045,170209,329960
Paquetes de unidifusion           ,15438189,25884005,154356,244490
Paquetes de unidifusion           ,15592545,26128495,860,625
Paquetes de unidifusion           ,15593405,26129120,835,675
Paquetes de unidifusion           ,15594240,26129795,8455,2205
Paquetes de unidifusion           ,15602695,26132000,2340,1080
Paquetes de unidifusion           ,15605035,26133080,9725,5940
Paquetes de unidifusion           ,15614760,26139020,12245,5225
Paquetes de unidifusion           ,15627005,26144245,37285,6140
Paquetes de unidifusion           ,15664290,26150385,3805,1110
Paquetes de unidifusion           ,15668095,26151495,2790,1040
Paquetes de unidifusion           ,15670885,26152535,2835,950
Paquetes de unidifusion           ,15673720,26153485,4545,1195
Paquetes de unidifusion           ,15678265,26154680,10030,6615
Paquetes de unidifusion           ,15688295,26161295,15855,10590
Paquetes de unidifusion           ,15704150,26171885,12985,7920
Paquetes de unidifusion           ,15717135,26179805,7390,5145
Paquetes de unidifusion           ,15724525,26184950,1555,865
Paquetes de unidifusion           ,15726080,26185815,1615,1070
Paquetes de unidifusion           ,15727695,26186885,166305,34070
Paquetes de unidifusion           ,15894000,26220955,57895,13265
Paquetes de unidifusion           ,15951895,26234220,1240,1185
Paquetes de unidifusion           ,15953135,26235405,6295,5195
Paquetes de unidifusion           ,15959430,26240600,6280,4450
Paquetes de unidifusion           ,15965710,26245050,19555,13615
Paquetes de unidifusion           ,15985265,26258665,23880,6075
Paquetes de unidifusion           ,16009145,26264740,79255,12875
Paquetes de unidifusion           ,16088400,26277615,160460,30475
Paquetes de unidifusion           ,16248860,26308090,3455,1245
Paquetes de unidifusion           ,16252315,26309335,8125,3300
Paquetes de unidifusion           ,16260440,26312635,32670,13450
Paquetes de unidifusion           ,16293110,26326085,16105,5145
Paquetes de unidifusion           ,16309215,26331230,9755,2210
Paquetes de unidifusion           ,16318970,26333440,3455,2115
Paquetes de unidifusion           ,16322425,26335555,2425,870
Paquetes de unidifusion           ,16324850,26336425,3260,795
Paquetes de unidifusion           ,16328110,26337220,2710,930
Paquetes de unidifusion           ,16330820,26338150,8080,1905
Paquetes de unidifusion           ,16338900,26340055,5025,1835
Paquetes de unidifusion           ,16343925,26341890,8170,3467
Paquetes de unidifusion           ,16352095,26345357,7150,4413
Paquetes de unidifusion           ,16359245,26349770,6135,3685
Paquetes de unidifusion           ,16365380,26353455,32050,18710
Paquetes de unidifusion           ,16397430,26372165,8275,3310
Paquetes de unidifusion           ,16405705,26375475,9790,5610
Paquetes de unidifusion           ,16415495,26381085,4015,3625
Paquetes de unidifusion           ,16419510,26384710,88280,60795
Paquetes de unidifusion           ,16507790,26445505,17155,5275
Paquetes de unidifusion           ,16524945,26450780,8715,2960
Paquetes de unidifusion           ,16533660,26453740,1140,870
Paquetes de unidifusion           ,16534800,26454610,245,230
Paquetes de unidifusion           ,16535045,26454840,2500,805
Paquetes de unidifusion           ,16537545,26455645,5820,5005
Paquetes de unidifusion           ,16543365,26460650,5170,1870
Paquetes de unidifusion           ,16548535,26462520,7860,4045
Paquetes de unidifusion           ,16556395,26466565,4150,865
Paquetes de unidifusion           ,16560545,26467430,17505,8670
Paquetes de unidifusion           ,16578050,26476100,6195,2410
Paquetes de unidifusion           ,16584245,26478510,14060,3765
Paquetes de unidifusion           ,16598305,26482275,16525,3975
Paquetes de unidifusion           ,16614830,26486250,12805,5615
Paquetes de unidifusion           ,16627635,26491865,9540,1960
Paquetes de unidifusion           ,16637175,26493825,25095,10830
Paquetes de unidifusion           ,16662270,26504655,8630,3325
Paquetes de unidifusion           ,16670900,26507980,5805,3520
Paquetes de unidifusion           ,16676705,26511500,33190,16090
Paquetes de unidifusion           ,16709895,26527590,17710,4990
Paquetes de unidifusion           ,16727605,26532580,7750,1335
Paquetes de unidifusion           ,16735355,26533915,8625,1500
Paquetes de unidifusion           ,16743980,26535415,8480,2500
Paquetes de unidifusion           ,16752460,26537915,22980,8765
Paquetes de unidifusion           ,16775440,26546680,12115,4885
Paquetes de unidifusion           ,16787555,26551565,10350,4295
Paquetes de unidifusion           ,16797905,26555860,-16797905,-26555860
