Estadisticas de interfaz,Recibidos,Enviados
Paquetes de unidifusion           ,16817020,        26563665
Paquetes de unidifusion           ,16817470,        26564135
Paquetes de unidifusion           ,16817820,        26564520
Paquetes de unidifusion           ,16818225,        26564865
Paquetes de unidifusion           ,16818375,        26565020
Paquetes de unidifusion           ,16818635,        26565260
Paquetes de unidifusion           ,16819070,        26565630
Paquetes de unidifusion           ,16819555,        26566040
Paquetes de unidifusion           ,16819745,        26566215
Paquetes de unidifusion           ,16819915,        26566370
Paquetes de unidifusion           ,16820155,        26566580
Paquetes de unidifusion           ,16820645,        26567015
Paquetes de unidifusion           ,16820925,        26567295
Paquetes de unidifusion           ,16821160,        26567500
Paquetes de unidifusion           ,16821285,        26567650
Paquetes de unidifusion           ,16821580,        26567910
Paquetes de unidifusion           ,16821875,        26568210
Paquetes de unidifusion           ,16822170,        26568470
Paquetes de unidifusion           ,16822430,        26568720
Paquetes de unidifusion           ,16822705,        26568965
Paquetes de unidifusion           ,16822895,        26569165
Paquetes de unidifusion           ,16823095,        26569350
Paquetes de unidifusion           ,16823310,        26569600
Paquetes de unidifusion           ,16825065,        26577440
Paquetes de unidifusion           ,16825300,        26577700
Paquetes de unidifusion           ,16825630,        26578000
Paquetes de unidifusion           ,16825765,        26578135
Paquetes de unidifusion           ,16825965,        26578300
Paquetes de unidifusion           ,16826120,        26578460
Paquetes de unidifusion           ,16826345,        26578690
Paquetes de unidifusion           ,16826595,        26578910
Paquetes de unidifusion           ,16826790,        26579120
Paquetes de unidifusion           ,16826960,        26579265
Paquetes de unidifusion           ,16827100,        26579395
Paquetes de unidifusion           ,16827220,        26579530
Paquetes de unidifusion           ,16827380,        26579675
Paquetes de unidifusion           ,16827660,        26579960
Paquetes de unidifusion           ,16827730,        26580040
Paquetes de unidifusion           ,16827880,        26580170
Paquetes de unidifusion           ,16828070,        26580355
Paquetes de unidifusion           ,16828195,        26580490
Paquetes de unidifusion           ,16828420,        26580705
Paquetes de unidifusion           ,16828705,        26580985
Paquetes de unidifusion           ,16828945,        26581220
Paquetes de unidifusion           ,16829040,        26581300
Paquetes de unidifusion           ,16829120,        26581385
Paquetes de unidifusion           ,16829760,        26585320
Paquetes de unidifusion           ,16830000,        26585545
Paquetes de unidifusion           ,16830305,        26585835
Paquetes de unidifusion           ,16830360,        26585915
Paquetes de unidifusion           ,16830515,        26586055
Paquetes de unidifusion           ,16830630,        26586165
Paquetes de unidifusion           ,16830700,        26586260
Paquetes de unidifusion           ,16830775,        26586335
Paquetes de unidifusion           ,16831000,        26586540
Paquetes de unidifusion           ,16831140,        26586690
Paquetes de unidifusion           ,16831255,        26586790
Paquetes de unidifusion           ,16831510,        26587000
Paquetes de unidifusion           ,16831830,        26587295
Paquetes de unidifusion           ,16832120,        26587545
Paquetes de unidifusion           ,16832455,        26587845
Paquetes de unidifusion           ,16832535,        26587915
Paquetes de unidifusion           ,16832670,        26588055
Paquetes de unidifusion           ,16832725,        26588100
Paquetes de unidifusion           ,16832820,        26588210
Paquetes de unidifusion           ,16833010,        26588370
Paquetes de unidifusion           ,16833250,        26588630
Paquetes de unidifusion           ,16833375,        26588765
Paquetes de unidifusion           ,16833525,        26588890
Paquetes de unidifusion           ,16833625,        26588985
Paquetes de unidifusion           ,16833750,        26589105
Paquetes de unidifusion           ,16833925,        26589275
Paquetes de unidifusion           ,16834090,        26589440
Paquetes de unidifusion           ,16834260,        26589615
Paquetes de unidifusion           ,16834691,        26590030
Paquetes de unidifusion           ,16834915,        26590230
Paquetes de unidifusion           ,16835120,        26590420
Paquetes de unidifusion           ,16835340,        26590630
Paquetes de unidifusion           ,16835590,        26590855
Paquetes de unidifusion           ,16836050,        26591335
Paquetes de unidifusion           ,16836360,        26591630
Paquetes de unidifusion           ,16836400,        26591690
Paquetes de unidifusion           ,16836575,        26591850
Paquetes de unidifusion           ,16836695,        26591980
Paquetes de unidifusion           ,16836905,        26592170
Paquetes de unidifusion           ,16836960,        26592240
Paquetes de unidifusion           ,16837235,        26592505
Paquetes de unidifusion           ,16837385,        26592640
Paquetes de unidifusion           ,16837470,        26592735
Paquetes de unidifusion           ,16837625,        26592890
Paquetes de unidifusion           ,16837905,        26593135
